listing_id,date
96033,2013-10-18
96033,2013-11-12
96033,2014-03-27
96033,2014-04-17
96033,2014-05-08
96033,2014-05-29
96033,2014-07-01
96033,2014-07-11
96033,2014-07-15
96033,2014-08-31
96033,2014-09-16
96033,2014-09-25
96033,2015-04-06
96033,2015-04-27
96033,2015-05-28
96033,2015-06-19
96033,2015-07-11
96033,2015-08-09
96033,2015-09-21
96033,2015-10-13
96033,2015-11-01
96033,2016-02-02
96033,2016-02-26
96033,2016-06-02
96033,2016-07-20
96033,2016-08-22
96033,2016-08-29
96033,2016-09-02
96033,2016-10-01
96033,2016-10-13
96033,2017-04-05
96033,2017-05-03
96033,2017-07-15
96033,2017-07-30
96033,2017-09-07
96033,2017-09-18
96033,2017-09-24
96033,2017-10-15
96033,2017-12-31
96033,2018-05-30
96033,2018-06-30
96033,2018-07-24
96033,2018-08-26
96033,2018-09-04
96033,2018-10-02
96033,2018-10-09
96033,2018-10-10
96033,2018-10-17
96033,2018-10-21
96033,2018-11-22
96033,2018-12-18
96033,2019-02-01
96033,2019-02-07
96033,2019-02-24
96033,2019-03-03
96033,2019-03-26
96033,2019-04-24
96033,2019-04-29
96033,2019-05-04
96033,2019-05-09
96033,2019-05-18
96033,2019-05-28
96033,2019-06-09
96033,2019-06-17
96033,2019-07-09
96033,2019-07-19
96033,2019-07-26
96033,2019-08-04
96033,2019-08-26
96033,2019-10-02
96033,2019-10-12
96033,2019-10-20
96033,2020-01-05
96033,2020-01-12
96033,2020-01-18
96033,2020-01-23
96033,2020-02-09
96033,2020-02-15
96033,2020-02-20
96033,2020-03-02
96033,2020-04-03
96033,2020-06-30
96033,2020-07-15
96033,2020-07-19
96033,2020-07-24
96033,2020-08-21
96033,2020-09-01
96033,2020-09-24
96033,2020-10-02
155696,2011-10-08
155696,2012-05-30
155696,2012-09-10
155696,2013-07-10
155696,2013-08-19
155696,2013-09-17
155696,2015-04-07
155696,2015-07-27
155696,2015-08-24
155696,2015-09-01
155696,2016-01-07
155696,2016-07-06
155696,2016-07-29
155696,2016-08-16
155696,2017-07-18
155696,2017-08-15
155696,2017-08-24
155696,2018-09-25
166473,2011-08-25
166473,2011-09-17
166473,2011-10-16
166473,2011-10-25
166473,2011-11-20
166473,2012-04-12
166473,2012-04-23
166473,2012-04-27
166473,2012-05-03
166473,2012-07-03
166473,2012-08-14
166473,2012-09-01
166473,2012-09-30
166473,2012-12-04
166473,2013-03-30
166473,2013-04-26
166473,2013-06-18
166473,2013-06-26
166473,2013-07-31
166473,2013-09-02
166473,2013-10-11
166473,2013-10-27
166473,2013-11-02
