id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29730282,Apto luminoso en tranquilo recinto privado,1942849,Maria Lola,,Carretera de Cadiz,36.69356,-4.44227,Entire home/apt,91,3,3,2020-07-12,0.13,1,0
29775144,Habitación Rosa en la alegre casa de Mariquilla,224018943,Maria,,Este,36.73041,-4.38234,Private room,45,2,2,2019-10-24,0.11,2,177
29775926,Charming apartment  in historic center Málaga.,10861310,Marcel (ByME Lifestyle),,Centro,36.72532,-4.42284,Entire home/apt,69,3,14,2020-03-08,0.61,1,81
29778319,OLLETAS APARTMENT,168094895,Afaf,,Centro,36.73387,-4.41502,Entire home/apt,250,3,6,2019-10-10,0.25,4,151
29786842,"Pedregalejo, Malaga,  Estropada 2",1372797,Juan F,,Este,36.72125,-4.37522,Entire home/apt,65,3,7,2020-08-13,0.32,3,257
29788036,"Family Malaga Beachhouse, 2 bikes+WiFi+BIGterrace",1429517,Stijn & Nicole,,Este,36.71907,-4.36694,Entire home/apt,199,3,30,2020-08-31,1.34,1,293
29794309,casa familiar acogedor,224152926,Leonardo,,Carretera de Cadiz,36.69754,-4.45365,Private room,26,1,186,2020-08-09,7.74,2,182
29813925,Santa Catalina,2477923,Caleta Homes,,Este,36.72596,-4.39398,Entire home/apt,111,1,2,2019-07-28,0.12,26,326
29841904,iloftmalaga Santa Lucía,80225433,I Loft Malaga,,Centro,36.7232,-4.42225,Entire home/apt,96,1,16,2020-03-15,0.76,218,360
29850430,"Precioso apartamento 3BD,terraza y parking.",15749330,Jorge Y Rocio,,Centro,36.72245,-4.41664,Entire home/apt,80,2,4,2019-12-01,0.23,34,214
29853226,"Habitación individual acogedora, en casa familiar!",224152926,Leonardo,,Carretera de Cadiz,36.69866,-4.45296,Private room,19,1,99,2019-12-01,5.24,2,0
29876035,GENUAR APARTMENTS MALAGA CENTER,148048383,Gennadiy,,Centro,36.72022,-4.42808,Entire home/apt,60,2,5,2020-08-02,0.22,4,0
29891528,Apartamento luminoso en Pz de la Merced,68393142,Alicia,,Centro,36.72337,-4.41754,Entire home/apt,104,3,28,2020-02-28,1.18,1,5
29895222,Charming Loft Málaga Centre,25740801,Julio,,Centro,36.72784,-4.42075,Entire home/apt,33,2,25,2020-03-03,1.08,6,31
29906281,"Single room near center, 2 km.",177818945,Carlos,,Bailen-Miraflores,36.7282,-4.44301,Private room,13,5,12,2020-07-29,0.54,2,62
29918112,Solaga - San Juan,126429738,Steffen,,Centro,36.72434,-4.41896,Entire home/apt,98,1,11,2020-03-14,0.56,56,311
29954674,Piso frente al mar primera linea de playa Malaga,225213522,Maria Del Carmen,,Carretera de Cadiz,36.69516,-4.43908,Entire home/apt,47,1,25,2020-10-27,1.08,1,347
29976026,LU&CIA PENTHOUSE CITY CENTER,126386697,Lucía Y Miguel,,Centro,36.72598,-4.42384,Entire home/apt,76,1,10,2019-12-16,0.45,26,275
29981087,Malagueta Cervantes Suite,10070230,Rodrigo,,Centro,36.7209,-4.41122,Entire home/apt,115,3,11,2020-02-24,0.49,6,89
30003157,Urbe10 Plaza de la Constitucion 1 Bedroom,151527355,Urbe10,,Centro,36.72091,-4.42222,Entire home/apt,84,2,7,2019-12-09,0.31,34,88
